english,transliteration,arabic,audioUrl
gloves,kfūf [pl.],كْفوف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-50.mp3
a pair of gloves,kaffēn [dual],كفّيْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-51.mp3
bathrobe,rōb ɧammēm,روْب حمّام,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-52.mp3
pajamas,bījama,بيجاما,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-53.mp3
nightgown,ʔamīʂ nōm,قميْص نوْم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-54.mp3
"swimsuit, bathing suit",mayyōh,ميّوْه,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-55.mp3
bikini,bīkīni,بيكيني,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-56.mp3
pocket,jēbi,جيْبِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-57.mp3
to put __ in one’s pocket,ɧaʈʈ [55] __ b-jēbtu,حط __ بْجيْبْتو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-58.mp3
to take __ out of one’s pocket,ʈálla3 [55] __ min jēbtu,طلّع __ مِن جيْبْتو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-59.mp3
button,zirr (zrār),زِرّ (زْرار),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-60.mp3
to button up,"sákkar lizrār, ysákkir lizrār",سكّر الِزْرار، يْسكِّر الِزْرار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-61.mp3
to unbutton,"fakk izzrār, yfikk izzrār",فكّ الزّْرار، يْفِكّ الزّْرار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-62.mp3
zipper,siɧɧāb,سِحّاب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-63.mp3
to zip up,sákkar issiɧɧāb,سكّر السِّحّاب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-64.mp3
to unzip,fátaɧ [55] issiɧɧāb,فتح السِحاب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-65.mp3
