english,transliteration,arabic
flame ,šu3la,شعلة
flame s,šu3alaat,شعلات
matches,tiqaab,ثقاب
pot,qidra,قدرة
pots,quduur,قدور
frying pan,qallaaya,قلاية
mixer/blender,xallaaT,خلاط
mixer/blenders,xallaaTaat,خلاطات
strainer,miSfaah,مصفاة
strainers,maSaafin,مصاف
tool,adaah,أداة
tools,adawaat,أدوات
hammer,miTraqa,مطرقة
hammers,maTaariq,مطارق
nail,mismaar,مسمار
nails,masaamiir,مسامير
screw,burġi,برغي
screws,baraaġi,براغي
pliers,zaradiyya,زردية
pliers,kammaašaat,كمّاشات
screwdriver,mifakk,مفك
screwdrivers,mifakkaat,مفكات
spanner,miftaaH,مفتاح
spanners,mafaatiiH,مفاتيح
saw,minšaar,منشار
saws,manaašiir,مناشير
pump,Tulumba,طلمبة
pumps,Tulumbaat,طلمبات
paint,dihaan,دهان
paints,dihaanaat,دهانات
glue ,ġiraa',غراء
glue,Samġ,صمغ
tape,šariiT laSq,شريط لصق
ladder,sullam,سلّم
ladders,salaalim,سلالم
metal,ma3din,معدن
metals,ma3aadin,معادن
material,maadda,مادة
materials,mawaadd,مواد
copper,nuHaas,نحاس
iron,Hadiid,حديد
steel,Sulb,صلب
marble,ruxaam,رخام
to turn on (a light,walla3 - yiwalla3 ,ولّع - يولّع 
to turn off,Tafa - yiTfi ,طفى - يطفي 
