english,transliteration,arabic,audioUrl
I’m 20 years old.,,عنْدي عِشْرين عام.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-59.mp3
to turn __ years old,,دار__عام,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-60.mp3
He’s turning ten years old next week.,,سِّمانة الجّايّة غيْدير عشْرة سْنين.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-61.mp3
I turned thirty last month.,,دِرْت ثْلاثين عام الشّْهر لّي فات.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-62.mp3
a ten-year-old boy/child,,وُلْد فْعُمْرو عَشْرة سْنين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-63.mp3
a fifty-year-old woman,,مْرا فْعْمُرْها خَمْسين عام,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-64.mp3
When were you born?,,اِمْتى تْزاديتي؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-65.mp3
What year were you born?,,إينَ عام تْزاديتي؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-66.mp3
I was born in 1980.,,تْزاديت فْألْف وْ تسْعمْية وْ تْمانين.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-67.mp3
"death, passing",,موت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-68.mp3
to die,,مات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-69.mp3
dead,,مِيِّت (موتى، أمْوات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-70.mp3
to pass away,,تْوَفّى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-71.mp3
deceased,,مِتْوَفّي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-72.mp3
"corpse, body",,جُثّة (جُثث),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-73.mp3
funeral,,جْنازة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-74.mp3
to bury,,دْفِن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-75.mp3
to be buried,,تدْفِن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-76.mp3
burial,,دْفينة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-77.mp3
coffin,,تابوت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-78.mp3
cemetery,,مقْبرة (مْقابر),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-79.mp3
grave,,قْبر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-80.mp3
"gravestone, headstone",,شاهد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-81.mp3
to mourn,,حْزِن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-82.mp3
mourning,,حُزْن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-83.mp3
period of mourning,,حِداد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-84.mp3
to cremate,,حْرق الجُثّة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-85.mp3
cremation,,حرْق الجُثّة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav01-86.mp3
