english,transliteration,arabic,audioUrl
snake,,حنْش (حْنوشة),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-59.mp3
"turtle, tortoise",,فكْرون (فْكارن),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-60.mp3
frog,,جْرانة (جْران),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-61.mp3
fish,,حوتة (حوت),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-62.mp3
shark,,قِرْش (قْروشة),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-63.mp3
jellyfish,,قنْديل بحْر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-64.mp3
"insect, bug",,حشرة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-65.mp3
ant,,نمْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-66.mp3
bee,,نحْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-67.mp3
A bee stung me.,,قرْصاتْني نحْلة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-68.mp3
bee-sting,,قرْصة نحْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-69.mp3
beehive,,خلية نحْل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-70.mp3
beetle,,خنْفوس (خْنافس),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-71.mp3
butterfly,,فرْطوطّو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-72.mp3
butterfly,,فراشة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-73.mp3
cockroach,,سرّاق الزّيت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-74.mp3
cricket,,صرْصوْر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-75.mp3
flea,,برْغوثة (برْغوث),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-76.mp3
fly,,ذبّانة (ذبّان),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-77.mp3
"grasshopper, locust",,جْرادة (جْراد),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-78.mp3
louse (lice),,ڭمْلة (ڭْمل),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-79.mp3
The child has head lice.,,هاذ الدّرّي فيه الڭْمل.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-80.mp3
mosquito,,نموسة (نموس),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-81.mp3
mosquito bite,,قرْصة نموسة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-82.mp3
A mosquito bit me.,,قرْصاتْني نموسة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-83.mp3
moth,,فرْطوطّو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-84.mp3
scorpion,,عقْرب (عْقارب),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-85.mp3
snail,,حلزون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-86.mp3
snail,,ببّوش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-87.mp3
spider,,رْتيلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-88.mp3
spider,,عنْكبوت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-89.mp3
spider web,,شبْكة رْتيلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-90.mp3
I’m afraid of spiders.,,كنْخاف من رْتيلات.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-91.mp3
wasp,,زنْبوْر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-92.mp3
worm,,دودة (دود),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-93.mp3
"beak, bill",,منْقار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-94.mp3
"claw, talon",,مخْلب (مْخالب),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-95.mp3
feathers,,ريشة (ريش),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-96.mp3
"feeler, antenna",,أونْطين (أونْطينات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-97.mp3
fur,,فرْو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-98.mp3
"horn, antler",,ڭرْن (ڭْرون),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-99.mp3
"paw, leg",,رْجل (رجْلين),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-100.mp3
tail,,ذيل (ذْيول),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-101.mp3
"udder, teats",,ضْرع (ضْروع),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-102.mp3
wing,,جْناح (جْوانح),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav43-103.mp3
