english,transliteration,arabic
pot,Halla,حلّة
pots,Hilal,حلل
frying pan,'allaaya,قلاية
mixer/blender,xallaaT,خلاط
mixer/blenders,xallaaTaat,خلاطات
strainer,maSfa,مصفى
strainers,maSaafi,مصافي
tool,adaah,أداة
tools,adawaat,أدوات
hammer,šakuuš,شاكوش
hammers,šawakiiš,شواكيش
nail,musmaar,مسمار
nails,masamiir,مسامير
screw,musmaar 'alawooZ,مسمار قلاووظ
screws,baraaġi,براغي
pliers,kammaaša,كمّاشة
pliers,kammaašaat,كمّاشات
screwdriver,mifakk,مفك
screwdrivers,mifakkaat,مفكات
spanner,muftaaH,مفتاح
spanners,mafatiiH,مفاتيح
saw,munšaar,منشار
saws,manašiir,مناشير
pump,Toromba,طرمبة
pumps,Torombaat,طرمبات
paint,dihaan,دهان
paints,dihaanaat,دهانات
glue ,ġira,غراء
glue,samġ,سمغ
tape,širiiT laS',شريط لصق
ladder,sillim,سلّم
ladders,salaalim,سلالم
metal,ma3dan,معدن
metals,ma3aadin,معادن
material,madda,مادة
materials,mawaadd,مواد
copper,niHaas,نحاس
iron,Hadiid,حديد
steel,Solb,صلب
marble,ruxaam,رخام
to turn on (a light,walla3 - yiwalla3 ,ولّع - يولّع 
to turn off,Tafa - yiTfi ,طفى - يطفي 
