english,transliteration,arabic,audioUrl
three thousand,tálat-talāf,تلاتّلاف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-50.mp3
four thousand,ʔárba3-talāf,أرْبعْتلاف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-51.mp3
five thousand,xámas-talāf,خمسْتلاف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-52.mp3
six thousand,sit-talāf,سِتّلاف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-53.mp3
seven thousand,sába3-talāf,سبعْتلاف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-54.mp3
eight thousand,táman-talāf,تمنْتلاف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-55.mp3
nine thousand,tísa3-talāf,تِسعْتلاف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-56.mp3
ten thousand,3ášar-talāf,عشرْتلاف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-57.mp3
eleven thousand,ɧidāšar ʔalf,حِداشر ألْف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-58.mp3
twenty thousand,3išrīn ʔalf,عِشْرين ألْف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-59.mp3
one hundred thousand,mīt ʔalf,ميةْ ألْف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-60.mp3
million,milyōn,ميلْيوْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-61.mp3
billion,bilyōn,بيلْيوْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-62.mp3
"arithmetic, calculation",ɧisāb,حِساب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-63.mp3
"to calculate, to work out",ɧásab [1s2],حسب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-64.mp3
