wrists,ارساغ,arsaaġ,ارساغ,arsaaġ
finger/toe*,اصبع,iSba3,اصبع,iSba3
finger/toe*s,اصابع,aSaabi3,اصابع,aSaabi3
thumb/big toe,ابهام,ibhaam,ابهام,ibhaam
thumb/big toes,اباهيم,abaahiim,اباهيم,abaahiim
index finger,سبابة,sabbaaba,سبابة,sabbaaba
index fingers,سبابات,sabbaabaat,سبابات,sabbaabaat
middle finger,وسطى,wusTa,وسطى,wusTa
middle fingers,وسط,wusaT,وسط,wusaT
ring finger,بنصر,binSir,بنصر,binSir
ring fingers,بناصر,banaaSir,بناصر,banaaSir
pinky finger,خنصر,xinSir,خنصر,xinSir
pinky fingers,خناصر,xanaaSir,خناصر,xanaaSir
knuckle, joint,مفصل,mafSil,مفصل,mafSil
knuckle, joints,مفاصل,mafaaSil,مفاصل,mafaaSil
palm,,raaHat,راحة,raaHat
palms,راحات اليد,raaHaat al-yad,راحات اليد,raaHaat al-yad
fingernail/toenail,ظفر,Zufr,ظفر,Zufr
fingernail/toenails,اظفار  |  اظافر,aZfaar | aZaafir,اظفار  |  اظافر,aZfaar | aZaafir
fist,,qabDa,قبضة,qabDa
fists,قبضات اليد,qabaDaat al-yad,قبضات اليد,qabaDaat al-yad
abdomen,بطن,baTn,بطن,baTn
abdomens,بطون,buTuun,بطون,buTuun
stomach,معدة,ma3ida,معدة,ma3ida
stomachs,معد,mi3ad,معد,mi3ad
navel,سرة,surra,سرة,surra
navels,سرر,surar,سرر,surar
waist,خصر,xaSr,خصر,xaSr
waists,خصور,xuSuur,خصور,xuSuur
hip,ردف,ridf,ردف,ridf
hips,ارداف,ardaaf,ارداف,ardaaf
leg,رجل,rijl,رجل,rijl
legs,ارجل,arjul,ارجل,arjul
thigh,فخذ,faxid,فخذ,faxid
thighs,افخاذ,afxaad,افخاذ,afxaad
knee,ركبة,rukba,ركبة,rukba
knees,ركب,rukab,ركب,rukab
ankle,كاحل,kaaHil,كاحل,kaaHil
ankles,كواحل,kawaaHil,كواحل,kawaaHil
anklebone,,bizz,بزّ,bizz
anklebones,بزاز الرجل,bizaaz ir-rigl,بزاز الرجل,bizaaz ir-rigl
heel,عقب,3aqib,عقب,3aqib
heels,اعقاب,a3qaab,اعقاب,a3qaab
foot,قدم,qadam,قدم,qadam
